"total_revenue","day","month","time","con_time","category","price","precipitation","temp_diff","mean_temp","sell_sequence","rank_seq_mean","rank_brand"
12078000,"2"," 8"," 0",0.013888889,"5",79900,0.9,9.7,5,1,1,104
17338000,"2"," 8"," 0",0.027777778,"5",79900,0.5,11.3,2.1,2,3,104
18195000,"2"," 8"," 1",0.041666667,"5",79900,0.5,11.3,2.1,3,6,104
5905000,"6"," 8"," 1",0.041666667,"5",79900,0.7,10.4,28.8,1,1,104
11888000,"6"," 8"," 1",0.055555556,"5",79900,0.7,10.4,28.8,2,3,104
11158000,"6"," 8"," 1",0.069444444,"5",79900,0,17.6,22.9,3,6,104
34218000,"6"," 1","16",0.666666667,"3",99000,0.1,10.2,0.6,1,1,63
52844000,"6"," 1","16",0.6875,"3",99000,0.1,10.2,0.6,2,3,63
21277000,"6"," 2","13",0.541666667,"3",99000,5.7,9,27.6,1,1,63
42997000,"6"," 2","13",0.5625,"3",99000,5.7,9,27.6,2,3,63
34069000,"4","10","17",0.708333333,"4",49900,0,8.5,1.7,1,1,235
42276000,"4","10","17",0.722222222,"4",49900,0,8.5,1.7,2,3,235
52138000,"4","10","17",0.736111111,"4",49900,0,8.5,1.7,3,6,235
21834000,"7","11","17",0.722222222,"4",49900,0.1,6.8,-0.3,1,1,235
36441000,"7","11","17",0.736111111,"4",49900,0.1,6.8,-0.3,2,3,235
44931000,"7","11","18",0.75,"4",49900,0.1,6.8,-0.3,3,6,235
26597000,"5","11","17",0.722222222,"4",49900,1,9.6,8.8,1,1,235
35021000,"5","11","17",0.736111111,"4",49900,1,9.6,8.8,2,3,235
46681000,"5","11","18",0.75,"4",49900,0,15.8,6.1,3,6,235
31428000,"5","12","17",0.722222222,"4",49900,0,9.6,-3.2,1,1,235
42266000,"5","12","17",0.736111111,"4",49900,0.2,12,2.9,2,3,235
52443000,"5","12","18",0.75,"4",49900,0.2,12,2.9,3,6,235
23500000,"7","12","16",0.680555556,"4",49900,0,14.6,13.3,1,1,235
35704000,"7","12","16",0.694444444,"4",49900,0,14.6,13.3,2,3,235
45918000,"7","12","17",0.708333333,"4",49900,0,14.6,13.3,3,6,235
14064000,"7","11"," 8",0.347222222,"9",49800,0.1,8.4,1,1,1,337
7780000,"7","11"," 8",0.354166667,"9",49800,0.1,8.4,1,2,3,337
10493000,"7","11"," 8",0.361111111,"9",49800,0.1,8.4,1,3,6,337
9273000,"7","11"," 8",0.368055556,"9",49800,0,13,7.8,4,4,337
12346000,"7","11"," 9",0.375,"9",49800,0,13,7.8,5,2,337
24420000,"7","11"," 9",0.381944444,"9",49800,0,13,7.8,6,5,337
3507000,"4","11","15",0.638888889,"9",49800,1.2,8.3,28.6,1,1,337
8954000,"4","11","15",0.645833333,"9",49800,1.9,7.4,26.4,2,3,337
12709000,"4","11","15",0.652777778,"9",49800,1.9,7.4,26.4,3,6,337
20933000,"4","11","15",0.659722222,"9",49800,0.4,10.8,25.1,4,4,337
5110000,"3","12","10",0.430555556,"9",49800,1.8,8.1,22.5,1,1,337
11263000,"3","12","10",0.4375,"9",49800,1.8,8.1,22.5,2,3,337
13519000,"3","12","10",0.444444444,"9",49800,1.8,8.1,22.5,3,6,337
