"total_revenue","day","month","time","con_time","category","price","mean_temp","seemean","precipitation","cold_sc","flu_sc","pneumonia_sc","coronavirus_sc","sell_sequence","rank_seq_mean","rank_brand","brand","code_name"
6082000,"4"," 1"," 0",0,"1",69.9,-4.4,0.5619,0,0.16,0.821,0.242,0.014,1,1,444,"100377","201225"
11985000,"4"," 1"," 0",0.014,"1",69.9,-4.4,0.6714,0,0.16,0.821,0.242,0.014,2,3,444,"100377","201225"
16461000,"4"," 1"," 0",0.028,"1",69.9,-4.4,0.0667,0,0.16,0.821,0.242,0.014,3,6,444,"100377","201225"
6445000,"4"," 1"," 0",0,"1",69.9,-4.4,0.5619,0,0.16,0.821,0.242,0.014,1,1,444,"100377","201231"
8491000,"4"," 1"," 0",0.014,"1",69.9,-4.4,0.6714,0,0.16,0.821,0.242,0.014,2,3,444,"100377","201231"
10641000,"4"," 1"," 0",0.028,"1",69.9,-4.4,0.0667,0,0.16,0.821,0.242,0.014,3,6,444,"100377","201231"
7329000,"5"," 1"," 0",0,"1",39.9,-3.5,6e-04,0,0.161,0.707,0.236,0.018,1,1,423,"100346","201072"
10481000,"5"," 1"," 0",0.014,"1",39.9,-3.5,6e-04,0,0.161,0.707,0.236,0.018,2,3,423,"100346","201072"
12050000,"5"," 1"," 0",0,"1",39.9,-3.5,6e-04,0,0.161,0.707,0.236,0.018,1,1,423,"100346","201079"
22520000,"5"," 1"," 0",0.014,"1",39.9,-3.5,6e-04,0,0.161,0.707,0.236,0.018,2,3,423,"100346","201079"
11512000,"6"," 1"," 0",0,"1",499,-1.1,6e-04,0,0.15,0.636,0.211,0.011,1,1,412,"100049","202044"
19019000,"6"," 1"," 0",0.014,"1",499,-1.1,6e-04,0,0.15,0.636,0.211,0.011,2,3,412,"100049","202044"
26852000,"6"," 1"," 0",0.028,"1",499,-1.1,6e-04,0,0.15,0.636,0.211,0.011,3,6,412,"100049","202044"
10874000,"7"," 1"," 0",0,"5",49.9,-1.9,6e-04,5.9,0.122,0.461,0.185,0.012,1,1,346,"100212","200756"
24142000,"7"," 1"," 0",0.014,"5",49.9,-1.9,0.6667,5.9,0.122,0.461,0.185,0.012,2,3,346,"100212","200756"
23462000,"7"," 1"," 0",0.028,"5",49.9,-1.9,0.1429,5.9,0.122,0.461,0.185,0.012,3,6,346,"100212","200756"
27915000,"1"," 1"," 0",0,"5",39.8,-2.7,0.5762,0.8,0.117,0.444,0.168,0.008,1,1,487,"100074","200197"
52852000,"1"," 1"," 0",0.014,"5",39.8,-2.7,0.1286,0.8,0.117,0.444,0.168,0.008,2,3,487,"100074","200197"
51966000,"1"," 1"," 0",0.028,"5",39.8,-2.7,0.0857,0.8,0.117,0.444,0.168,0.008,3,6,487,"100074","200197"
25755000,"2"," 1"," 0",0,"7",138,-1.9,0.0581,0,0.153,0.653,0.24,0.009,1,1,287,"100433","201346"
57904000,"2"," 1"," 0",0.021,"7",138,-1.9,0.829,0,0.153,0.653,0.24,0.009,2,3,287,"100433","201346"
6623000,"3"," 1"," 0",0,"1",69,-2.7,0.0714,0.6,0.122,0.488,0.215,0.013,1,1,1,"100251","200842"
17019000,"3"," 1"," 0",0.014,"1",69,-2.7,0.1524,0.6,0.122,0.488,0.215,0.013,2,3,1,"100251","200842"
27945000,"3"," 1"," 0",0.028,"1",69,-2.7,0.0857,0.6,0.122,0.488,0.215,0.013,3,6,1,"100251","200842"
4707000,"3"," 1"," 0",0,"1",69,-2.7,0.0714,0.6,0.122,0.488,0.215,0.013,1,1,1,"100251","200855"
5968000,"3"," 1"," 0",0.014,"1",69,-2.7,0.1524,0.6,0.122,0.488,0.215,0.013,2,3,1,"100251","200855"
11701000,"3"," 1"," 0",0.028,"1",69,-2.7,0.0857,0.6,0.122,0.488,0.215,0.013,3,6,1,"100251","200855"
15259000,"4"," 1"," 0",0,"1",39.9,-4.5,6e-04,2.2,0.135,0.426,0.21,0.012,1,1,374,"100342","201059"
30991000,"4"," 1"," 0",0.014,"1",39.9,-4.5,6e-04,2.2,0.135,0.426,0.21,0.012,2,3,374,"100342","201059"
31787000,"4"," 1"," 0",0.028,"1",39.9,-4.5,6e-04,2.2,0.135,0.426,0.21,0.012,3,6,374,"100342","201059"
26316000,"5"," 1"," 0",0,"5",39.8,0,6e-04,0.3,0.117,0.388,0.224,0.013,1,1,487,"100074","200197"
46446000,"5"," 1"," 0",0.014,"5",39.8,0,0.8524,0.3,0.117,0.388,0.224,0.013,2,3,487,"100074","200197"
45256000,"5"," 1"," 0",0.028,"5",39.8,0,6e-04,0.3,0.117,0.388,0.224,0.013,3,6,487,"100074","200197"
13765000,"6"," 1"," 0",0,"2",69.9,0.8,0.1619,0.3,0.107,0.345,0.21,0.011,1,1,454,"100193","200652"
28608000,"6"," 1"," 0",0.014,"2",69.9,0.8,6e-04,0.3,0.107,0.345,0.21,0.011,2,3,454,"100193","200652"
31392000,"6"," 1"," 0",0.028,"2",69.9,0.8,0.0762,0.3,0.107,0.345,0.21,0.011,3,6,454,"100193","200652"
