,평균기온,강수량,cold,flu,pneumonia,coronavirus
2019-01-01,-4.1,0.25,0.122,0.577,0.173,0.013
2019-01-02,-4.4,0,0.16,0.821,0.242,0.014
2019-01-03,-3.5,0,0.161,0.707,0.236,0.018
2019-01-04,-1.1,0,0.15,0.636,0.211,0.011
2019-01-05,-1.9,5.9,0.122,0.461,0.185,0.012
2019-01-06,-2.7,0.8,0.117,0.444,0.168,0.008
2019-01-07,-1.9,0,0.153,0.653,0.24,0.009
2019-01-08,-2.7,0.6,0.122,0.488,0.215,0.013
2019-01-09,-4.5,2.2,0.135,0.426,0.21,0.012
2019-01-10,0,0.3,0.117,0.388,0.224,0.013
2019-01-11,0.8,0.3,0.107,0.345,0.21,0.011
2019-01-12,1.8,3.575,0.095,0.261,0.168,0.009
2019-01-13,0.4,5.8,0.087,0.236,0.152,0.007
2019-01-14,0.6,2.4,0.108,0.344,0.222,0.008
2019-01-15,-0.8,0.218,0.097,0.26,0.199,0.011
2019-01-16,-4.4,0.16,0.098,0.24,0.187,0.01
2019-01-17,-0.2,0.033,0.1,0.221,0.179,0.009
2019-01-18,-0.1,0,0.092,0.199,0.17,0.01
2019-01-19,2,0,0.077,0.153,0.141,0.007
2019-01-20,0,1.05,0.087,0.152,0.138,0.008
2019-01-21,-1,0.057,0.114,0.227,0.213,0.01
2019-01-22,1.2,0,0.106,0.19,0.185,0.01
2019-01-23,1.8,0,0.105,0.174,0.172,0.012
2019-01-24,-0.7,0,0.095,0.178,0.158,0.012
2019-01-25,-1.8,4.48,0.131,0.349,0.158,0.013
2019-01-26,-2.9,0.133,0.107,0.227,0.14,0.008
2019-01-27,-0.3,0,0.085,0.192,0.123,0.007
2019-01-28,1.5,0.507,0.113,0.271,0.176,0.008
2019-01-29,-0.5,0,0.11,0.226,0.167,0.012
2019-01-30,2.8,0,0.1,0.185,0.159,0.011
2019-01-31,-0.7,8.057,0.093,0.171,0.152,0.011
2019-02-01,-2.1,0.35,0.081,0.145,0.128,0.01
2019-02-02,1.6,0.2,0.075,0.126,0.114,0.008
