,1,2,3,4,5,6,7
2:00,0.0009,0.0019,0.0052,0.0013,0.0033,0.0026,0.0024
2:01,0.0009,0.0020,0.0071,0.0019,0.0043,0.0026,0.0027
2:02,0.0013,0.0022,0.0065,0.0028,0.0059,0.0025,0.0039
2:03,0.0016,0.0024,0.0062,0.0026,0.0058,0.0021,0.0040
2:04,0.0019,0.0027,0.0067,0.0026,0.0064,0.0018,0.0042
2:05,0.0034,0.0027,0.0073,0.0022,0.0042,0.0018,0.0048
2:06,0.0029,0.0025,0.0042,0.0021,0.0029,0.0029,0.0035
2:07,0.0021,0.0025,0.0038,0.0018,0.0028,0.0032,0.0039
2:08,0.0026,0.0025,0.0030,0.0025,0.0026,0.0020,0.0033
2:09,0.0020,0.0025,0.0045,0.0030,0.0048,0.0016,0.0033
2:10,0.0012,0.0025,0.0042,0.0023,0.0076,0.0019,0.0033
2:11,0.0019,0.0029,0.0046,0.0025,0.0045,0.0023,0.0033
2:12,0.0016,0.0033,0.0048,0.0026,0.0014,0.0017,0.0052
2:13,0.0028,0.0030,0.0043,0.0026,0.0014,0.0023,0.0047
2:14,0.0028,0.0029,0.0048,0.0027,0.0014,0.0025,0.0041
2:15,0.0022,0.0023,0.0048,0.0028,0.0022,0.0021,0.0039
2:16,0.0020,0.0039,0.0045,0.0024,0.0048,0.0026,0.0030
2:17,0.0009,0.0036,0.0045,0.0018,0.0022,0.0026,0.0033
2:18,0.0012,0.0031,0.0043,0.0018,0.0016,0.0030,0.0044
2:19,0.0012,0.0033,0.0047,0.0029,0.0023,0.0031,0.0059
2:20,0.0013,0.0032,0.0052,0.0019,0.0021,0.0030,0.0038
2:21,0.0015,0.0037,0.0053,0.0024,0.0025,0.0023,0.0040
2:22,0.0011,0.0033,0.0055,0.0019,0.0023,0.0026,0.0042
2:23,0.0012,0.0029,0.0050,0.0018,0.0023,0.0021,0.0045
2:24,0.0024,0.0026,0.0048,0.0024,0.0027,0.0024,0.0047
2:25,0.0017,0.0020,0.0048,0.0021,0.0062,0.0026,0.0050
2:26,0.0022,0.0017,0.0051,0.0018,0.0024,0.0023,0.0040
2:27,0.0013,0.0025,0.0053,0.0018,0.0015,0.0015,0.0051
2:28,0.0024,0.0022,0.0049,0.0016,0.0028,0.0034,0.0053
2:29,0.0018,0.0027,0.0057,0.0025,0.0023,0.0033,0.0056
2:30,0.0018,0.0023,0.0048,0.0022,0.0014,0.0030,0.0048
2:31,0.0007,0.0023,0.0050,0.0023,0.0017,0.0024,0.0039
2:32,0.0015,0.0028,0.0054,0.0025,0.0014,0.0020,0.0048
2:33,0.0027,0.0024,0.0046,0.0031,0.0011,0.0020,0.0041
2:34,0.0022,0.0025,0.0049,0.0026,0.0014,0.0021,0.0047
2:35,0.0010,0.0025,0.0045,0.0023,0.0014,0.0024,0.0047
2:36,0.0010,0.0020,0.0049,0.0023,0.0014,0.0022,0.0043
2:37,0.0013,0.0025,0.0052,0.0038,0.0014,0.0019,0.0046
2:38,0.0024,0.0025,0.0050,0.0027,0.0011,0.0028,0.0036
2:39,0.0016,0.0018,0.0038,0.0018,0.0017,0.0022,0.0047
2:40,0.0014,0.0017,0.0034,0.0018,0.0015,0.0028,0.0042
2:41,0.0014,0.0017,0.0034,0.0022,0.0017,0.0035,0.0048
2:42,0.0017,0.0022,0.0032,0.0028,0.0017,0.0035,0.0038
2:43,0.0020,0.0027,0.0032,0.0018,0.0014,0.0026,0.0033
2:44,0.0011,0.0027,0.0032,0.0018,0.0014,0.0031,0.0025
2:45,0.0020,0.0026,0.0042,0.0012,0.0014,0.0030,0.0040
2:46,0.0013,0.0026,0.0036,0.0014,0.0012,0.0033,0.0038
2:47,0.0015,0.0028,0.0036,0.0017,0.0015,0.0029,0.0041
2:48,0.0010,0.0028,0.0035,0.0015,0.0012,0.0032,0.0038
2:49,0.0013,0.0028,0.0026,0.0013,0.0024,0.0023,0.0040
2:50,0.0023,0.0027,0.0034,0.0012,0.0017,0.0014,0.0035
2:51,0.0014,0.0030,0.0034,0.0012,0.0014,0.0014,0.0033
2:52,0.0016,0.0029,0.0052,0.0012,0.0014,0.0010,0.0033
2:53,0.0010,0.0033,0.0053,0.0012,0.0017,0.0008,0.0033
2:54,0.0010,0.0030,0.0052,0.0024,0.0020,0.0012,0.0037
2:55,0.0019,0.0025,0.0035,0.0012,0.0019,0.0021,0.0033
2:56,0.0024,0.0023,0.0048,0.0013,0.0021,0.0013,0.0023
2:57,0.0019,0.0025,0.0043,0.0015,0.0020,0.0010,0.0022
2:58,0.0022,0.0022,0.0045,0.0018,0.0024,0.0010,0.0031
2:59,0.0010,0.0021,0.0037,0.0015,0.0019,0.0008,0.0030
3:00,0.0016,0.0021,0.0045,0.0015,0.0017,0.0009,0.0018
3:01,0.0016,0.0019,0.0041,0.0017,0.0014,0.0008,0.0018
3:02,0.0030,0.0020,0.0041,0.0025,0.0022,0.0008,0.0030
3:03,0.0043,0.0019,0.0034,0.0019,0.0022,0.0009,0.0034
3:04,0.0026,0.0020,0.0035,0.0028,0.0016,0.0012,0.0036
3:05,0.0023,0.0020,0.0032,0.0038,0.0019,0.0012,0.0034
3:06,0.0009,0.0021,0.0039,0.0035,0.0014,0.0012,0.0035
3:07,0.0013,0.0019,0.0035,0.0032,0.0015,0.0009,0.0026
3:08,0.0007,0.0032,0.0032,0.0024,0.0015,0.0009,0.0032
3:09,0.0007,0.0049,0.0037,0.0019,0.0017,0.0009,0.0041
3:10,0.0009,0.0056,0.0032,0.0019,0.0016,0.0017,0.0038
3:11,0.0015,0.0036,0.0068,0.0020,0.0016,0.0019,0.0024
3:12,0.0020,0.0036,0.0067,0.0020,0.0014,0.0015,0.0021
3:13,0.0017,0.0024,0.0040,0.0017,0.0020,0.0015,0.0024
3:14,0.0019,0.0020,0.0042,0.0024,0.0021,0.0019,0.0026
3:15,0.0020,0.0017,0.0046,0.0024,0.0021,0.0024,0.0027
3:16,0.0021,0.0019,0.0052,0.0024,0.0010,0.0024,0.0023
3:17,0.0020,0.0023,0.0052,0.0021,0.0018,0.0030,0.0037
3:18,0.0013,0.0024,0.0033,0.0016,0.0014,0.0021,0.0026
3:19,0.0013,0.0016,0.0033,0.0022,0.0010,0.0021,0.0028
3:20,0.0013,0.0020,0.0033,0.0022,0.0010,0.0019,0.0028
3:21,0.0010,0.0019,0.0033,0.0016,0.0010,0.0015,0.0028
3:22,0.0010,0.0021,0.0031,0.0019,0.0012,0.0015,0.0020
3:23,0.0017,0.0022,0.0032,0.0019,0.0012,0.0012,0.0020
3:24,0.0017,0.0022,0.0032,0.0020,0.0015,0.0012,0.0026
3:25,0.0010,0.0022,0.0045,0.0024,0.0013,0.0012,0.0021
3:26,0.0011,0.0017,0.0045,0.0026,0.0019,0.0012,0.0011
3:27,0.0010,0.0017,0.0058,0.0024,0.0020,0.0015,0.0006
